,0,1,2,3
797,KWAFALLC33,322nd Ave SE,Fall City,Ambient Weather WS-900-IP (Wireless)
798,KWAFARMI3,Warner RD area,Farmington,Ambient Weather WS-1001-WiFi (Wireless)
799,KWAFARMI2,Farmington Area,Farmington,Ambient Weather WS-1001-WiFi (Wireless)
800,KWAFEDER49,Dumas Bay,Federal Way,Ambient Weather WS-1001-WiFi (Wireless)
801,KWAFEDER25,City Hall,Federal Way,Davis Vantage Pro 2
802,KWAFEDER45,Arrowhead Wood,Federal Way,AcuRite Pro Weather Center
803,KWAFEDER52,Adelaide SW 296th,Federal Way,AcuRite Pro Weather Center
804,KWAFEDER33,Silver Lake Federal Way,Federal Way,AcuRite Pro Weather Center
805,KWAFEDER27,"Maple Vale, Federal Way, WA",Federal Way,Oregon Scientific Professional Weather Center
806,KWAFEDER15,Alderbrook,Federal Way,Davis Vantage Pro2
807,KWAFEDER42,Deville Manor,Federal Way,AcuRite Pro Weather Center
808,KWAFEDER12,Marine View Estates,Federal Way,Davis Vue
809,KWAFEDER14,Marine View Estates,Federal Way,Heatkit ID-5001
810,KWAFEDER37,Madrona Meadows,Federal Way,AcuRite Pro Weather Center
811,KWAFEDER28,Danville Station,Federal Way,Ambient Weather WS-1000 (Wireless)
812,KWAFEDER50,2nd Ave SW,Federal Way,AcuRite Pro Weather Center
813,KWAFEDER26,Laurelwood North,Federal Way,Davis Vantage Pro2 (Wireless)
814,KWAFEDER5,1 Mile SW of Decatur High School,Federal Way,Oregon Scientific WM918
815,KWAFEDER31,Southwest 295th Place,Federal Way,Netatmo
816,KWAFEDER46,"818 SW 295th St, Federal Way, WA",Federal Way,AcuRite Pro Weather Center
817,KWAFEDER41,Marine Hills,Federal Way,AcuRite Pro Weather Center
818,KWAFEDER48,Campus Woods,Federal Way,Bloomsky
819,KWAFEDER24,Adelaide - Marine View,Federal Way,Davis Vantage Pro2 - Fan Aspirated
820,KWAFEDER43,Village Park,Federal Way,Davis Vantage Vue (Wireless)
821,KWAFERND43,Sandy Point,Ferndale,Ambient Weather WS-1200-IP (Wireless)
822,KWAFERND27,Ferndale,Ferndale,Davis Vantage Vue (Wireless)
823,KWAFERND20,Valley View Hilltop,Ferndale,Ambient Weather WS-1400-IP (Wireless)
824,KWAFERND36,Meadowmist,Ferndale,AcuRite Pro Weather Center
825,KWAFERND22,Swede Hill,Ferndale,Davis Vantage Vue
826,KWAFERND31,Wyndover Farm (Lake Terrell),Ferndale,AcuRite Pro Weather Center
827,KWAFERND39,Downtown Ferndale,Ferndale,AcuRite Pro Weather Center
828,KWAFERND4,Sandy Point Shores,Ferndale,Davis Vantage Pro2 Plus (Wireless)
829,KWAFERND3,Pacific Highlands,Ferndale,Vantage Pro 2
830,KWAFERND24,East of Ferndale,Ferndale,AcuRite Pro Weather Center
831,KWAFERND7,The Old Jeffcott Place,Ferndale,AAG/Dallas 1-Wire
832,KWAFERND40,Sandy Point Shores,Ferndale,Ambient Weather WS-1001-WiFi (Wireless)
833,KWAFERND45,Scenic Heights,Ferndale,Ambient Weather WS-1200-IP (Wireless)
834,KWAFERND42,Shannon Ave,Ferndale,AcuRite Pro Weather Center
835,KWAFINNH2,Kirkland,Finn Hill,Netatmo
836,KWAFORD3,Long Lake Dam,Ford,RainWise MK-III
837,KWAFORD2,hwy 291 @ hwy 231,Ford,Ambient Weather WS-1400-IP (Wireless)
838,KWAFORKS10,Gaydeski Road,Forks,Davis Vantage Pro2 (Wireless)
839,KWAFORKS5,Quillayute Airport,Forks,AcuRite Pro Weather Center
840,KWAFORTW2,Fort Ward,Fort Ward,AcuRite Pro Weather Center
841,KWAFOXIS5,"Ozette Paradise, Fox Island",Fox Island,Ambient Weather WS-1200-IP (Wireless)
842,KWAFREEL21,Freeland,Freeland,AcuRite Pro Weather Center
843,KWAFREEL10,Wahl Rd,Freeland,Vantage Pro2
844,KWAFREEL16,Bush Point shoreline,Freeland,Ambient Weather WS-1400-IP (Wireless)
845,KWAFREEL22,Goss Lake,Freeland,Ambient Weather WS-1001-WiFi (Wireless)
846,KWAFREEL20,Double Bluff / Sunlight Beach,Freeland,Davis Vantage Vue (Wireless)
847,KWAFREEL19,Double Bluff,Freeland,Ambient Weather WS-1400-IP (Wireless)
848,KWAFREEL12,Dusty Ln,Freeland,Davis Vantage Pro2 (Wireless)
849,KWAFREEL26,Stone Cottage Whidbey,Freeland,AcuRite Pro Weather Center
850,KWAFREMO2,Seattle,Fremont,Netatmo
851,KWAFRIDA6,Mineral Point,Friday Harbor,Custom LabView
852,KWAFRIDA30,FOX HALL,Friday Harbor,AcuRite Pro Weather Center
853,KWAFRIDA3,660 feet south of Spieden Channel,Friday Harbor,Davis Weather Monitor II
854,KWAFRIDA24,Mitchell Bay,Friday Harbor,AcuRite Pro Weather Center
855,KWAFRIDA31,Seaview Estates,Friday Harbor,Ambient Weather WS-1001-WiFi (Wireless)
856,KWAFRIDA17,Ericson,Friday Harbor,Ambient Weather WS-1001-WiFi (Wireless)
857,KWAFRIDA26,Garrison Bay,Friday Harbor,AcuRite Pro Weather Center
858,KWAFRIDA16,Cape Drive,Friday Harbor,Netatmo
859,KWAFRIDA18,Front Street,Friday Harbor,Netatmo
860,KWAFRIDA28,Mitchell Point South,Friday Harbor,AcuRite Pro Weather Center
861,KWAFRIDA23,Eagle Cove,Friday Harbor,Davis Vantage Vue (Wireless)
862,KWAFRIDA25,False Bay Drive,Friday Harbor,AcuRite Pro Weather Center
863,KWAFRIDA13,San Juan Wx,Friday Harbor,AcuRite Pro Weather Center
864,KWAFRIDA32,Trout Lake,Friday Harbor,AcuRite Pro Weather Center
865,KWALAKES4,Getchell Hill,Frontier Airpark,Davis Vantage Pro 2
866,KWAGARFI3,,Garfield,WMR100a
867,KWAGIGHA54,Gig Harbor - Peninsula,Gig Harbor,Davis Vantage Pro2 (Wireless)
868,KWAGIGHA31,Point Richmond Ridge II,Gig Harbor,Ambient Weather WS-1400-IP (Wireless)
869,KWAGIGHA57,Crescent Valley,Gig Harbor,AcuRite Pro Weather Center
870,KWAGIGHA813,Chelsea Park,Gig Harbor,AcuRite Pro Weather Center
871,KWAGIGHA30,Henderson Bay,Gig Harbor,AcuRite Pro Weather Center
872,KWAGIGHA22,Allen Point,Gig Harbor,Vantage Pro
873,KWAGIGHA48,Eagle Cliffs,Gig Harbor,AcuRite Pro Weather Center
874,KWAGIGHA812,Estates at Gig Harbor,Gig Harbor,Ambient Weather WS-900-IP (Wireless)
875,KWAGIGHA12,Highridge,Gig Harbor,Davis Vantage Pro2 Plus
876,KWAGIGHA820,Mills,Gig Harbor,AcuRite Pro Weather Center
877,KWAGIGHA821,Kopachuck,Gig Harbor,Ambient Weather WS-1400-IP (Wireless)
878,KWAGIGHA17,Gig Harbor,Gig Harbor,Davis Instruments 6163 Wireless VP
879,KWAGIGHA32,Purdy,Gig Harbor,Weatherflow
880,KWAGIGHA33,62nd Street Northwest,Gig Harbor,Netatmo
881,KWAGIGHA44,Reid Drive Northwest,Gig Harbor,Netatmo
882,KWAGIGHA55,Gig Harbor,Gig Harbor,Netatmo
883,KWAGIGHA16,Cromwell Beach,Gig Harbor,Davis Vantage Pro 2
884,KWAGIGHA817,Harbor Ridge,Gig Harbor,AcuRite Pro Weather Center
885,KWAGIGHA52,Horsehead Bay,Gig Harbor,Ambient Weather WS-1400-IP (Wireless)
886,KWAGIGHA43,Midway,Gig Harbor,Ambient Weather WS-1001-WiFi (Wireless)
887,KWAGIGHA53,Mountain Park,Gig Harbor,Davis Vantage Pro2 Plus (Wireless)
888,KWAGIGHA810,Horsehead Bay,Gig Harbor,Ambient Weather WS-900-IP (Wireless)
889,KWAGIGHA49,Cromwell,Gig Harbor,Davis Vantage Vue (Wireless)
890,KWAGIGHA58,KP Hwy,Gig Harbor,AcuRite Pro Weather Center
891,KWAGIGHA819,Steeplechase,Gig Harbor,AcuRite Pro Weather Center
892,KWAGLENO3,Anderson Road,Glenoma,AcuRite Pro Weather Center
893,KWAGLENO2,Lost Creek,Glenoma,Ambient VWS
894,KWAGLENW2,"Glenwood, WA",Glenwood,Davis Vantage Pro2
895,KWAGOLDB15,Creekside,Gold Bar,Ambient Weather WS-1001-WiFi (Wireless)
896,KWAGOLDB13,Casita Rio at MIR,Gold Bar,AcuRite Pro Weather Center
897,KWAGOLDB12,GBNT_Rainbow Mine,Gold Bar,AcuRite Pro Weather Center
898,KWAGOLDB14,May Creek,Gold Bar,Ambient Weather WS-1001-WiFi (Wireless)
899,KWAGOLDE4,Northeast Goldendale,Goldendale,WMR968
900,KWAGOLDE19,The Shadow of Jackknife Butte,Goldendale,Ambient Weather WS-2090 (Wireless)
901,KWAGOLDE13,Firwood,Goldendale,Davis Vantage Pro2 (Cabled)
902,KWAGOLDE12,East Simcoe Drive,Goldendale,Netatmo
903,KWAGOLDE14,Thompson Meadows,Goldendale,Davis Vantage Pro2 Plus (Wireless)
904,KWAGOLDE18,City Center Goldendale,Goldendale,Ambient Weather WS-1400-IP (Wireless)
905,KWAGOLDE15,West of Cedar Valley Road,Goldendale,Oregon Scientific Professional Weather Center
906,KWAGOLDE22,KL517-West Side,Goldendale,AcuRite Pro Weather Center
907,KWAGOOSE2,Prairie House Lane,Goose Prairie,Netatmo
908,KWAGRAHA25,Kapowsin Airfield,Graham,AcuRite Pro Weather Center
909,KWAGRAHA4,86th Street Neighborhood,Graham,Davis Vantage Vue
910,KWAGRAHA31,9722 194th St. E,Graham,Ambient Weather WS-1400-IP (Wireless)
911,KWAGRAHA2,"Graham, WA 98338",Graham,WMR968
912,KWAGRAHA13,95th Avenue East,Graham,Netatmo
913,KWAGRAHA30,Baker Tree Farm,Graham,AcuRite Pro Weather Center
914,KWAGRAHA18,"Winterwood Park - Graham, WA",Graham,Netatmo Weather Station
915,KWAGRAHA26,MeatSlayer's Graham Station OK HWY MT View,Graham,other
916,KWAGRAHA27,Lost Creek,Graham,AcuRite Pro Weather Center
917,KWAGRAHA14,224th Street &amp; Orting-Kapowsin Hwy,Graham,Ambient Weather WS-1200-IP (Wireless)
918,KWAGRAHA29,JW,Graham,AcuRite Pro Weather Center
919,KWAGRAND5,"Grand Coulee, WA [Spring Canyon Rd.]",Grand Coulee,Davis Vantage Pro 2
920,KWAGRAND8,FDR Estates,Grand Coulee,Davis Vantage Pro2 (Wireless)
921,KWAGRAND2,Grandview,Grandview,Davis Vantage Pro2
922,KWAGRAND7,Mr. Willys,Grandview,AcuRite Pro Weather Center
923,KWAGRANG2,Eaglenest,Granger,Ambient Weather WS-1001-WiFi (Wireless)
924,KWAGRANI12,Canyon Creek,Granite Falls,Oregon Scientific Professional Weather Center
925,KWAGRANI11,Bogart Meadows,Granite Falls,other
926,KWAGRANI1,Pinnacle Ridge,Granite Falls,AcuRite Pro Weather Center
927,KWAGRANI14,South Granite,Granite Falls,AcuRite Pro Weather Center
928,KWAGRANI3,Rainbow Springs,Granite Falls,La Crosse 2308
929,KWAGRANI7,Darrington-Fir St,Granite Falls,
930,KWAGRANI13,Pilchuck East,Granite Falls,Ambient Weather WS-1001-WiFi (Wireless)
931,KWAGRANI8,Wetlands Edge Farm,Granite Falls,Davis Vantage Pro2 Plus (Wireless)
932,KWAGRANI10,Lake Alyson,Granite Falls,other
933,KWAGRANI15,"Green Gables General Store, west of Verlot, WA",Granite Falls,Ambient Weather WS-900-IP (Wireless)
934,IWASHING2,Pickering Passage,Grapeview,Davis VantagePro
935,KWAGRAPE4,Mason Lake/KE7PBH,Grapeview,AcuRite Pro Weather Center
936,KWAGRAPE2,Mason Lake,Grapeview,Davis Vantage Pro 2
937,KWAGRAPE3,Hummingbird Point,Grapeview,Davis Vantage Pro2 (Wireless)
938,KWAGRAYL11,Grayland WA,Grayland,Davis Vantage Vue (Wireless)
939,KWAGREEN19,Windsor Ridge,Greenacres,AcuRite Pro Weather Center
940,KWAGREEN16,Greenbank Beach,Greenbank,AcuRite Pro Weather Center
941,KWAGREEN22,Oceanside Dr,Greenbank,AcuRite Pro Weather Center
942,KWAGREEN25,Seascape,Greenbank,AcuRite Pro Weather Center
943,KWAGREEN15,hidden beach,Greenbank,Ambient Weather WS-1400-IP (Wireless)
944,KWAHALLE2,Seattle,Haller Lake,Netatmo
945,KWAHANSV9,Serenity-Now,Hansville,Ambient Weather WS-1400-IP (Wireless)
946,KWAHANSV11,The North Spit,Hansville,Ambient Weather WS-1400-IP (Wireless)
947,KWAHANSV8,Hansville,Hansville,Ambient Weather WS-1001-WiFi (Wireless)
948,KWAHANSV4,Skunk Bay,Hansville,Davis VP2
949,KWAHANSV10,Drift Wood Keys,Hansville,Davis Vantage Vue (Wireless)
950,KWAHARRI4,Wagner Beacon,Harrington,AcuRite Pro Weather Center
951,KWAHARRI2,Harrington Golf &amp; CC 5th Tee Box,Harrington,Ambient Weather WS-1001-WiFi (Wireless)
952,KWAHARRI3,Harrington,Harrington,AcuRite Pro Weather Center
953,KWAHARTL4,Hartline - Sieg Brothers Shop,Hartline,Davis Vantage Pro2 Plus (Wireless)
954,KWAHAZEL4,OVERLOOK/W7BP,Hazel Dell South,other
955,KWAHEISS1,1 Mi west of Heisson,Heisson,Vantage Pro2
956,KWAHENRY2,Black Diamond,Henrys,Netatmo
957,KWAHOCKI2,Hockinson,Hockinson,LaCrosse
958,KWAHOLLY2,Woodinville,Hollywood,Netatmo
959,KWAHOOD9,W. Ridge Drive - Hood River,Hood,WeatherFlow
960,KWAHOODS7,Lake Cushman area Div 7,Hoodsport,AcuRite Pro Weather Center
961,KWAHOODS4,Potlatch,Hoodsport,Vantage Pro2
962,KWAHOODS6,Div 1/W7BP,Hoodsport,Ambient Weather WS-1400-IP (Wireless)
963,KWAHOQUI7,Grays Harbor City,Hoquiam,Davis Vantage Vue (Wireless)
964,KWAHUMPT2,Humptulips / Axford Prairie,Humptulips,Davis Vantage Pro2 Plus (Wireless)
965,KWAHUNTE3,Hunters,Hunters,other
966,KWAILWAC4,Discovery Heights,Ilwaco,Davis Vantage Pro2 (Wireless)
967,KWAINCHE3,South Twin Lakes,Inchelium,AcuRite Pro Weather Center
968,KWAGOLDB6,Skykomish Valley at MIR,Index,Davis Vantage Pro2 Plus (Wireless)
969,KWAINDIA2,WeatherOLA,Indianola,Davis Vantage Pro2
970,KWAINDIA7,olablooms,Indianola,Bloomsky2 + Storm
971,KWAINDIA3,The Edge of Nowhere,Indianola,Davis Vantage Pro2 (Wireless)
972,KWAIROND2,Port Townsend,Irondale,Netatmo
973,KWAISSAQ5,Base of Tiger Mtn.,Issaquah,Davis Vantage Vue (Wireless)
974,KWAISSAQ60,Klahanie,Issaquah,AcuRite Pro Weather Center
975,KWAISSAQ34,Tiger Mountain Family Nudist Park,Issaquah,AcuRite Pro Weather Center
976,KWAISSAQ82,Issaquah Highlands,Issaquah,AcuRite Pro Weather Center
977,KWAISSAQ73,Monohan Park,Issaquah,other
978,KWAISSAQ27,High Point,Issaquah,Davis Vantage Pro2 (Wireless)
979,KWAISSAQ76,Tiger Mountain,Issaquah,Davis Vantage Pro2 (Cabled)
980,KWAISSAQ24,Tiger LZ,Issaquah,Davis Vantage Vue (Wireless)
981,KWAISSAQ25,Tiger Mt North Launch,Issaquah,Davis Vantage Pro2 Plus (Wireless)
982,KWAISSAQ95,Alpine Estates - The Woodlands II,Issaquah,Texas Instruments WLS-8000
983,KWAISSAQ26,Issaquah-Lake Sammamish (SO),Issaquah,
984,KWAISSAQ28,Southeast 155th Place,Issaquah,Netatmo
985,KWAISSAQ43,Issaquah Highlands,Issaquah,Netatmo
986,KWAISSAQ47,Talus,Issaquah,Netatmo
987,KWAISSAQ50,Southeast 28th Court,Issaquah,Netatmo
988,KWAISSAQ52,Issaquah Highlands,Issaquah,Netatmo
989,KWAISSAQ63,Olde Town,Issaquah,Netatmo
990,KWAISSAQ66,Squak Mountain,Issaquah,Netatmo
991,KWAISSAQ69,Southeast 133rd Street,Issaquah,Netatmo
992,KWAISSAQ77,246th Place Southeast,Issaquah,Netatmo
993,KWAISSAQ80,Issaquah,Issaquah,Netatmo
994,KWAISSAQ91,Issaquah,Issaquah,Netatmo
995,KWAISSAQ94,Issaquah,Issaquah,Netatmo
996,KWAISSAQ65,Klahanie-Summit Division,Issaquah,AcuRite Pro Weather Center
997,KWAISSAQ92,Tiger Mountain,Issaquah,Ambient Weather WS-1001-WiFi (Wireless)
998,KWAISSAQ100,Bellevue,Issaquah,Ambient Weather WS-1001-WiFi (Wireless)
999,KWAISSAQ85,Klahanie,Issaquah,AcuRite Pro Weather Center
1000,KWAISSAQ40,Olde Town Issaquah,Issaquah,Ambient Weather WS-1200-IP (Wireless)
1001,KWAISSAQ89,High Valley (SW view ridge),Issaquah,AcuRite Pro Weather Center
1002,KWAISSAQ81,Cedar Grove,Issaquah,AcuRite Pro Weather Center
1003,KWAISSAQ78,Tiger Mountain - 850 ft,Issaquah,Davis Vantage Pro2 (Wireless)
1004,KWAISSAQ6,Mine Hill,Issaquah,Davis Vantage Vue (Wireless)
1005,KWAISSAQ54,High Valley,Issaquah,Ambient Weather WS-1001-WiFi (Wireless)
1006,KWAISSAQ16,Grand Ridge,Issaquah,other
1007,KWAISSAQ98,Issaquah Highlands,Issaquah,AcuRite Pro Weather Center
1008,KWAISSAQ101,Montreux,Issaquah,AcuRite Pro Weather Center
1009,KWAISSAQ75,Alpine Estates - Above High Valley,Issaquah,Ambient Weather WS-1000 (Wireless)
1010,KWAISSAQ71,Aldarra Golf Club,Issaquah,AcuRite Pro Weather Center
1011,KWAISSAQ99,Talus - Aliante,Issaquah,AcuRite Pro Weather Center
1012,KWAISSAQ55,The Woods,Issaquah,other
1013,KWAISSAQ61,High Valley,Issaquah,Ambient Weather WS-1001-WiFi (Wireless)
1014,KWAKALAM19,San Gabriel Ct,Kalama,AcuRite Pro Weather Center
1015,KWAKALAM15,North Kalama,Kalama,Davis Vantage Pro2 (Wireless)
1016,KWAKALAM12,"green mtn rd @ 1,350ft",Kalama,Davis Vantage Pro2 (Cabled)
1017,KWAKALAM20,Columbia Terrace Estates,Kalama,AcuRite Pro Weather Center
1018,KWAKALAM3,Docmarv Kalama Weather,Kalama,Davis Vantage Pro II 6153
1019,KWAKALAM9,JaegerNeighbor,Kalama,Davis Vantage PRO2
1020,KWAKALAM10,China Garden Weather,Kalama,Davis Vantage Pro2 (Wireless)
1021,KWAKALAM5,Karno@Kalama,Kalama,Davis Vantage Vue (Wireless)
1022,KWAKALAM18,Lower Green Mountain,Kalama,Ambient Weather WS-1001-WiFi (Wireless)
1023,KWAKELSO15,Owl Creek Court,Kelso,Netatmo
1024,KWAKELSO20,The Portly Pony,Kelso,Davis Vantage Pro2 (Wireless)
1025,KWAKELSO11,kelso north 4th,Kelso,Oregon Scientific Professional Weather Center
1026,KWAKELSO12,Kelso,Kelso,AcuRite Pro Weather Center
1027,KWAKELSO27,Kool Road Cabin,Kelso,AcuRite Pro Weather Center
1028,KWAKELSO28,Pleasant Hill Rd,Kelso,Ambient Weather WS-1001-WiFi (Wireless)
1029,KWAKENMO11,Arrowhead Point,Kenmore,AcuRite Pro Weather Center
1030,KWAKENMO17,Fireside Lane,Kenmore,AcuRite Pro Weather Center
1031,KWAKENMO18,Central Arrowhead Point,Kenmore,AcuRite Pro Weather Center
1032,KWAKENMO9,North of lake on hill,Kenmore,
1033,KWAKENMO23,73rd Avenue Northeast,Kenmore,Ambient Weather WS-1400-IP (Wireless)
1034,KWAKENMO13,Northeast 167th Street,Kenmore,Netatmo
1035,KWAKENMO6,Finn Hill,Kenmore,Davis Vantage Pro 2
1036,KWAKENMO2,North of Lake Washington,Kenmore,Davis Vantage Pro 2 Plus
1037,KWAKENMO21,Harbor Village Marina,Kenmore,Ambient Weather WS-2090 (Wireless)
1038,KWAKENMO12,North end Lake Washington,Kenmore,Ambient Weather WS-1001-WiFi (Wireless)
1039,KWAKENMO4,Northshore Utility District,Kenmore,Davis Vantage Pro 2
1040,KWAKENMO22,Kenmore Moorlands,Kenmore,Davis Vantage Pro2 (Cabled)
1041,KWAKENNE22,Valley Vista,Kennewick,Ambient Weather WS-1400-IP (Wireless)
1042,KWAKENNE7,Horse Heaven Hills,Kennewick,Davis Vantage Pro2 Plus
1043,KWAKENNE15,South Kennewick,Kennewick,Davis Vantage Vue� (Wireless))
1044,KWAKENNE45,Columbia Falls,Kennewick,AcuRite Pro Weather Center
1045,KWAKENNE40,SW Little Badger Mountain,Kennewick,Ambient Weather WS-1400-IP (Wireless)
1046,KWAKENNE46,Riverview Heights,Kennewick,AcuRite Pro Weather Center
1047,KWAKENNE51,finley wa.,Kennewick,other
1048,KWAKENNE31,Kamiakin,Kennewick,Ambient Weather WS-1400-IP (Wireless)
1049,KWAKENNE54,Vista View,Kennewick,AcuRite Pro Weather Center
1050,KWAKENNE36,Finley,Kennewick,Davis Vantage Vue (Wireless)
1051,KWAKENNE33,Beck Mountain,Kennewick,Ambient Weather WS-1001-WiFi (Wireless)
1052,KWAKENNE18,Kennewick-Metaline,Kennewick,
1053,KWAKENNE28,West 46th Avenue,Kennewick,Netatmo
1054,KWAKENNE10,KD7KJJ - EAST KENNEWICK,KENNEWICK,ZEPHYR INSTRUMENTS
1055,KWAKENNE32,Lorayne J,Kennewick,AcuRite Pro Weather Center
1056,KWAKENNE56,Finley,Kennewick,AcuRite Pro Weather Center
1057,KWAKENNE44,reata west,Kennewick,AcuRite Pro Weather Center
1058,KWAKENNE48,Sunset Ridge,Kennewick,AcuRite Pro Weather Center
1059,KWAKENNE34,rolling hills,Kennewick,AcuRite Pro Weather Center
1060,KWAKENNE39,Rancho Reata,Kennewick,AcuRite Pro Weather Center
1061,KWAKENNE52,Kellogg,Kennewick,AcuRite Pro Weather Center
1062,KWAKENT59,Braun-Vermilion-David,Kent,AcuRite Pro Weather Center
1063,KWAKENT49,Covington Sawyer,Kent,Davis Vantage Vue (Wireless)
1064,KWAKENT79,Homestead Acres,Kent,AcuRite Pro Weather Center
1065,KWAKENT53,Cambridge East - Kent West Hill,Kent,Davis Vantage Vue (Wireless)
1066,KWAKENT68,Oakdale / Clark Lake,Kent,AcuRite Pro Weather Center
1067,KWAKENT25,Kent East Hill - GPM,Kent,Davis Vantage Pro 2
1068,KWAKENT81,Westridge Condo's,Kent,AcuRite Pro Weather Center
1069,KWAKENT36,Horseshoe Acres,Kent,Ambient Weather WS2080
1070,KWAKENT8,Jim-East Hill,Kent,Davis Vantage Pro2
1071,KWAKENT76,"Park Orchard, Kent East Hill",Kent,AcuRite Pro Weather Center
1072,KWAKENT52,Covington / Black Diamond,Kent,AcuRite Pro Weather Center
1073,KWAKENT56,Covington,Kent,Davis Vantage Vue (Wireless)
1074,KWAKENT54,Canterra,Kent,other
1075,KWAKENT19,WinterWood Estates,Kent,Davis Vantage Pro2
1076,KWAKENT16,Lake Meridian North,Kent,AcuRite Pro Weather Center
1077,KWAKENT69,Briere Lane,Kent,AcuRite Pro Weather Center
1078,KWAKENT82,Springbrook,Kent,Ambient Weather WS-1001-WiFi (Wireless)
1079,KWAKENT48,Kent-James &amp; Central,Kent,
1080,KWAKENT57,42nd Place South,Kent,Netatmo
1081,KWAKENT65,Homestead Acres,Kent,AcuRite Pro Weather Center
1082,KWAKENT26,Remington Sub Div,Kent,Davis Vantage Pro2
1083,KWAKENT27,Lower Scenic Hill,Kent,LaCrosse WS-2308
1084,KWAKENT73,Crest Airpark,Kent,AcuRite Pro Weather Center
1085,KWAKENT43,Pennylane Farm,Kent,Davis Vantage Pro2 (Wireless)
1086,KWAKENT67,Wilson's Labratory,Kent,Davis Vantage Pro2 Plus (Wireless)
1087,KWAKENT46,Riverview,Kent,Ambient Weather WS-1400-IP (Wireless)
1088,KWAKENT80,Lake Meridian,Kent,AcuRite Pro Weather Center
1089,KWAKENT47,Green Tree Neighborhood,Kent,Tycon Power Systems ProWeatherStation
1090,KWAKENT24,Meridian Valley CC,Kent,Ambient Weather WS-1001-WiFi (Wireless)
1091,KWAKENT58,Cambridge,Kent,AcuRite Pro Weather Center
1092,KWAKENT64,Lake Morton-Berrydale,Kent,AcuRite Pro Weather Center
1093,KWAKENT72,West Fenwick,Kent,AcuRite Pro Weather Center
1094,KWAKENT42,benson meadows east,Kent,AcuRite Pro Weather Center
1095,KWAKENT39,Linda Highlands,Kent,AcuRite 01525
1096,KWAKETTL2,"Kettle Falls, WA",Kettle Falls,Davis Vantage Pro2 (Wireless)
1097,KWAKETTL5,Kettle Falls,Kettle Falls,Netatmo
1098,KWAKEYPO2,"Keyport, WA",Keyport,Davis Vantage Vue (Wireless)
1099,KWAKINGS21,Kingston/Eglon,Kingston,Netatmo Weather Station
1100,KWAKINGS27,North Kingston,Kingston,AcuRite Pro Weather Center
1101,KWAKINGS9,Kingston North,Kingston,Oregon Scientific Professional Weather Center
1102,KWAKINGS32,Daparwood,Kingston,AcuRite Pro Weather Center
1103,KWAKINGS23,Neat Avenue Northeast,Kingston,Netatmo
1104,KWAKINGS25,Old Hansville Road Northeast,Kingston,Netatmo
1105,KWAKINGS28,Ohio Avenue Northeast,Kingston,Netatmo
1106,KWAKINGS16,Hood Canal Dr NE,Kingston,Davis Vantage Pro 2/Webcam
1107,KWAKINGS40,Cliffside,Kingston,AcuRite Pro Weather Center
1108,KWAKINGS20,resource ridge,Kingston,AcuRite Pro Weather Center
1109,KWAKINGS31,Harley Hill,Kingston,Ambient Weather WS-1400-IP (Wireless)
1110,KWAKINGS19,,Kingston,Davis Vantage Pro
1111,KWAKINGS34,North Kingston,Kingston,Ambient Weather WS-1001-WiFi (Wireless)
1112,KWAKINGS39,Port Gamble S'Klallam Tribe,Kingston,other
1113,KWAKINGS3,Cliffside,Kingston,Davis VP2
1114,KWAKINGS22,Wild Gamble,Kingston,Oregon Scientific Professional Weather Center
1115,KWAKIRKL10,Kirkland Highlands,Kirkland,WMR968
1116,KWAKIRKL11,Norway Hill Park,Kirkland,Oregon Scientific WMR968 (roof mount)
1117,KWAKIRKL6,Juanita,Kirkland,AcuRite Pro Weather Center
1118,KWAKIRKL78,Norkirk,Kirkland,AcuRite Pro Weather Center
1119,KWAKIRKL103,Finn Hill,Kirkland,Ambient Weather WS-1001-WiFi (Wireless)
1120,KWAKIRKL79,North Rosshill,Kirkland,Netatmo Weather Station
1121,KWAKIRKL35,North Juanita-Little Finn Hill,Kirkland,Davis Vantage Pro2 (Wireless)
1122,KWAKIRKL55,Finn Hill,Kirkland,Ambient Weather WS-1400-IP (Wireless)
1123,KWAKIRKL102,Houghton,Kirkland,AcuRite Pro Weather Center
1124,KWAKIRKL83,Inglewood-Finn Hill,Kirkland,other
1125,KWAKIRKL33,"Kirkland, Wa",Kirkland,Ambient Weather WS-2080A
1126,KWAKIRKL29,South Rose Hill,KIRKLAND,AcuRite Pro Weather Center
1127,KWAKIRKL101,Kingsgate,Kirkland,AcuRite Pro Weather Center
1128,KWAKIRKL24,Central Houghton,Kirkland,Davis Vantage VUE ISS
1129,KWAKIRKL96,South Rose Hill,Kirkland,AcuRite Pro Weather Center
1130,KWAKIRKL62,West of Market,Kirkland,Netatmo Weather Station
1131,KWAKIRKL77,Juanita,Kirkland,Bloomsky
1132,KWAKIRKL8,North Rose Hill/NE 100th,Kirkland,Davis Vantage VUE
1133,KWAKIRKL93,Bridle Trails,Kirkland,Ambient Weather WS-1001-WiFi (Wireless)
1134,KWAKIRKL40,North Rose Hill,Kirkland,Netatmo
1135,KWAKIRKL43,Totem Lake,Kirkland,Netatmo
1136,KWAKIRKL58,Market,Kirkland,Netatmo
1137,KWAKIRKL60,Willow - Rose Hill,Kirkland,Netatmo
1138,KWAKIRKL64,Kingsgate,Kirkland,Netatmo
1139,KWAKIRKL66,North Rose Hill,Kirkland,Netatmo
1140,KWAKIRKL72,North Rose Hill,Kirkland,Netatmo
